Supplemental Table 4 - Gene promoter classification among colorectal samples,,,,,,,
,,,,,,,
Probe ID,Gene Symbol,Gene ID,Normal adjacent  mean beta-value,Tumor mean beta-value,Normal vs. tumor FDR-adjusted P value,ES cell histone marks,Gene category
cg16341373,CDCA8,55143,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg16254764,HDAC11,79885,0.04,0.04,0.981895213584516,NA,Constitutively Low
cg16116363,SH3GLB1,51100,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg15877314,GNAI2,2771,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg15705999,ZNF148,7707,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg15589354,URB2,9816,0.10,0.10,0.981895213584516,K4,Constitutively Low
cg15562197,C3orf38,285237,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg15299721,NHEDC2,133308,0.01,0.04,0.981895213584516,K4+K27,Constitutively Low
cg15299463,TEAD2,8463,0.02,0.03,0.981895213584516,K4,Constitutively Low
cg15092544,RAP1B,5908,0.01,0.01,0.981895213584516,K4,Constitutively Low
cg15010390,NDUFC1,4717,0.06,0.06,0.981895213584516,K4,Constitutively Low
cg14944269,RAB15,376267,0.14,0.15,0.981895213584516,NA,Constitutively Low
cg14816013,OBFC2B,79035,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg14729071,RAD21,5885,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg14705927,P4HA1,5033,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg14696348,MC1R,4157,0.07,0.07,0.981895213584516,NA,Constitutively Low
cg14609458,PRRG4,79056,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg14297700,TBL3,10607,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg14187678,TBR1,10716,0.08,0.09,0.981895213584516,K4+K27,Constitutively Low
cg13906548,GABARAPL2,11345,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg13890487,ISCA1,81689,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg13750354,OCIAD1,54940,0.07,0.07,0.981895213584516,K4,Constitutively Low
cg13236854,NAPA,8775,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg13133148,SNAPC5,10302,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg12796229,SLMO1,10650,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg12533335,TAF1C,9013,0.07,0.07,0.981895213584516,K4,Constitutively Low
cg12079362,ATP6V0B,533,0.13,0.13,0.981895213584516,K4,Constitutively Low
cg11993300,NDST2,8509,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg11917694,STAMBPL1,57559,0.03,0.03,0.981895213584516,K4+K27,Constitutively Low
cg11390468,IFT57,55081,0.06,0.06,0.981895213584516,K4,Constitutively Low
cg11368578,CDK5,1020,0.06,0.06,0.981895213584516,K4,Constitutively Low
cg11064797,RELL2,285613,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg11064206,ABCB9,23457,0.01,0.01,0.981895213584516,K4,Constitutively Low
cg11047295,HMGB1,3146,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg11044263,TMEM65,157378,0.03,0.03,0.981895213584516,K4+K27,Constitutively Low
cg10978402,IQGAP1,8826,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg10957584,FAM86A,196483,0.02,0.02,0.981895213584516,NA,Constitutively Low
cg10885645,CLSTN3,9746,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg10809441,DHX8,1659,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg10763059,PTPN12,5782,0.07,0.08,0.981895213584516,NA,Constitutively Low
cg10484485,KIAA0922,23240,0.02,0.03,0.981895213584516,K4,Constitutively Low
cg10474368,SPCS2,9789,0.02,0.01,0.981895213584516,K4,Constitutively Low
cg10028071,COMMD3,23412,0.05,0.05,0.981895213584516,K4+K27,Constitutively Low
cg09877136,GMFB,2764,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg09822001,APOA1BP,128240,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg09693433,CDKL3,51265,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg09541468,CORO1B,57175,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg09327628,MARCKSL1,65108,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg09151429,LPHN1,22859,0.12,0.13,0.981895213584516,NA,Constitutively Low
cg09070492,COX15,1355,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg08914916,MRPS12,6183,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg08706258,WSB1,26118,0.01,0.01,0.981895213584516,K4,Constitutively Low
cg08413153,SNX11,29916,0.11,0.11,0.981895213584516,K4,Constitutively Low
cg08287471,NEK6,10783,0.11,0.11,0.981895213584516,K4,Constitutively Low
cg08198370,MRPS15,64960,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg07955828,DHX35,60625,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg07855056,CCDC55,84081,0.09,0.08,0.981895213584516,K4,Constitutively Low
cg07777378,GRN,2896,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg07685221,QTRT1,81890,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg07331806,AIFM3,150209,0.17,0.21,0.981895213584516,K4+K27,Constitutively Low
cg07231132,TMEM92,162461,0.08,0.08,0.981895213584516,NA,Constitutively Low
cg07125123,RRM2B,50484,0.13,0.14,0.981895213584516,K4,Constitutively Low
cg07048351,SERP1,27230,0.01,0.01,0.981895213584516,K4,Constitutively Low
cg06815666,PRPF31,26121,0.09,0.10,0.981895213584516,K4,Constitutively Low
cg06731484,IVD,3712,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg06716436,S1PR2,9294,0.02,0.03,0.981895213584516,K4,Constitutively Low
cg06493080,HOXB7,3217,0.07,0.07,0.981895213584516,K4+K27,Constitutively Low
cg06444558,PBK,55872,0.04,0.05,0.981895213584516,K4,Constitutively Low
cg06333435,POLR3D,661,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg06216677,TESK1,7016,0.01,0.01,0.981895213584516,NA,Constitutively Low
cg05658858,TUBGCP2,10844,0.01,0.01,0.981895213584516,K4,Constitutively Low
cg05523085,MYO5A,4644,0.03,0.04,0.981895213584516,NA,Constitutively Low
cg05311623,ANXA5,308,0.04,0.06,0.981895213584516,K4,Constitutively Low
cg04815626,MSRA,4482,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg04506628,SNRPC,6631,0.04,0.03,0.981895213584516,K4,Constitutively Low
cg04154812,CALCOCO2,10241,0.09,0.09,0.981895213584516,K4,Constitutively Low
cg04094160,ZBTB5,9925,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg04006554,ENPP5,59084,0.01,0.01,0.981895213584516,K4,Constitutively Low
cg03992230,HNRNPH1,3187,0.06,0.05,0.981895213584516,K4,Constitutively Low
cg03705396,MAP6D1,79929,0.06,0.09,0.981895213584516,K4,Constitutively Low
cg03445474,CAPRIN1,4076,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg03169527,C3orf31,132001,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg03161112,ZNF24,7572,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg03098361,RFC2,5982,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg02943497,PARP4,143,0.06,0.06,0.981895213584516,K4,Constitutively Low
cg02772367,NUP160,23279,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg02603366,RPS21,6227,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg02504465,SNX3,8724,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg02357725,IMP3,55272,0.03,0.03,0.981895213584516,K4,Constitutively Low
cg02337166,NR1D1,9572,0.07,0.07,0.981895213584516,K4+K27,Constitutively Low
cg02239082,CYTH2,9266,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg02161046,HIAT1,64645,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg02160826,MRPS16,51021,0.02,0.02,0.981895213584516,K4,Constitutively Low
cg01657207,ZNF35,7584,0.17,0.20,0.981895213584516,K4,Constitutively Low
cg01372689,MRPL12,6182,0.04,0.04,0.981895213584516,K4,Constitutively Low
cg01195127,YIPF4,84272,0.07,0.07,0.981895213584516,K4,Constitutively Low
cg00901704,SLC25A19,60386,0.05,0.05,0.981895213584516,K4,Constitutively Low
cg00811081,RPAP3,79657,0.06,0.05,0.981895213584516,K4,Constitutively Low
cg00459975,HMBOX1,79618,0.04,0.05,0.981895213584516,K4,Constitutively Low
cg00332745,NOL3,8996,0.04,0.04,0.981895213584516,K4+K27,Constitutively Low
cg27633903,MBD6,114785,0.10,0.10,0.974573214635676,K4,Constitutively Low
cg27339143,PSRC1,84722,0.04,0.04,0.974573214635676,K4,Constitutively Low
cg27254601,MAZ,4150,0.02,0.02,0.974573214635676,NA,Constitutively Low
cg27119451,BRD8,10902,0.04,0.04,0.974573214635676,K4,Constitutively Low
cg26831968,GBF1,8729,0.02,0.02,0.974573214635676,K4,Constitutively Low
cg26542130,PCBP1,5093,0.07,0.07,0.974573214635676,K4,Constitutively Low
cg26446827,ZNF133,7692,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg26255649,ATP5S,27109,0.02,0.02,0.974573214635676,K4,Constitutively Low
cg26054395,MTF2,22823,0.04,0.04,0.974573214635676,K4,Constitutively Low
cg26039806,RNF121,55298,0.03,0.03,0.974573214635676,NA,Constitutively Low
cg25999015,ZNF575,284346,0.06,0.06,0.974573214635676,K4,Constitutively Low
cg25945303,KLF6,1316,0.04,0.04,0.974573214635676,K4,Constitutively Low
cg25640176,GFOD2,81577,0.02,0.02,0.974573214635676,K4,Constitutively Low
cg25506900,TSEN54,283989,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg25415932,OGG1,4968,0.10,0.12,0.974573214635676,K4,Constitutively Low
cg25034557,PACS1,55690,0.08,0.11,0.974573214635676,K4,Constitutively Low
cg25018329,E2F8,79733,0.05,0.05,0.974573214635676,K4,Constitutively Low
cg24977709,SSSCA1,10534,0.04,0.04,0.974573214635676,NA,Constitutively Low
cg24596576,FANCD2,2177,0.02,0.02,0.974573214635676,K4,Constitutively Low
cg23948756,KLC1,3831,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg23641648,MRPS9,64965,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg23521069,SIP1,8487,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg23226134,CLCN6,1185,0.05,0.05,0.974573214635676,K4,Constitutively Low
cg22781236,UBL3,5412,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg22723026,ANG,283,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg22571217,DAPK1,1612,0.07,0.07,0.974573214635676,K4,Constitutively Low
cg22441882,SLC18A1,6570,0.13,0.14,0.974573214635676,None,Constitutively Low
cg22336401,ENTPD8,377841,0.07,0.07,0.974573214635676,None,Constitutively Low
cg22313025,HACE1,57531,0.06,0.06,0.974573214635676,K4,Constitutively Low
cg22001782,BCL9,607,0.08,0.10,0.974573214635676,K4,Constitutively Low
cg21943652,HIPK1,204851,0.02,0.02,0.974573214635676,K4,Constitutively Low
cg21931212,C12orf57,113246,0.06,0.07,0.974573214635676,K4,Constitutively Low
cg21609430,ESYT1,23344,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg20319264,NIPSNAP1,8508,0.04,0.04,0.974573214635676,K4,Constitutively Low
cg20172280,OLFML2B,25903,0.11,0.11,0.974573214635676,K4+K27,Constitutively Low
cg20168375,LYRM7,90624,0.04,0.04,0.974573214635676,K4,Constitutively Low
cg19875047,ANKRD42,338699,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg19586645,MIF4GD,57409,0.02,0.02,0.974573214635676,K4,Constitutively Low
cg18947521,H3F3A,3020,0.04,0.03,0.974573214635676,K4,Constitutively Low
cg18938150,LSM12,124801,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg18652852,MAFF,23764,0.05,0.05,0.974573214635676,K4,Constitutively Low
cg18445047,SPATA2L,124044,0.06,0.07,0.974573214635676,K4,Constitutively Low
cg18396865,SNX6,58533,0.17,0.17,0.974573214635676,K4,Constitutively Low
cg18342900,C16orf87,388272,0.18,0.18,0.974573214635676,K4,Constitutively Low
cg18263030,MARK3,4140,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg17976381,SMARCB1,6598,0.05,0.05,0.974573214635676,K4,Constitutively Low
cg17872064,NOP58,51602,0.02,0.02,0.974573214635676,K4,Constitutively Low
cg17733100,C1orf106,55765,0.08,0.09,0.974573214635676,K4,Constitutively Low
cg17617223,ZER1,10444,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg17593391,RRAGC,64121,0.03,0.04,0.974573214635676,NA,Constitutively Low
cg17091770,STYX,6815,0.03,0.03,0.974573214635676,K4,Constitutively Low
cg16864895,INTS7,25896,0.08,0.08,0.974573214635676,K4,Constitutively Low
